ID,Porig,Pnew,ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,lab,bab
12683218,0.441531,0.44152431,222.285034,1.642332,1.13,0.21,0.95,0.35,-0.3550388,1.0,-0.32,-0.59,15.2,213,1,-0.07285004297824216,0.9074315846968918
12689098,0.52446402,0.52446524,222.27327,2.767964,1.16,0.28,1.05,0.27,-0.2802843,0.87,-0.26,-1.33,16.14,202,1,-0.0500211363621581,0.9212894989577268
12696409,0.52672496,0.52673807,222.987244,0.274659,1.13,0.3,1.09,0.28,-0.2784161,0.83,-0.31,1.63,15.16,264,1,-0.08594001236820148,0.8818799644476948
12704270,0.47809797,0.47810254,222.976517,0.87137,1.28,-0.23,0.97,0.63,-0.3204831,0.77,-0.55,-0.83,16.38,250,1,-0.07452555906015768,0.8893848802312704
12708840,0.54078695,0.5407766,222.241791,0.178509,1.2,0.16,0.95,0.41,-0.2669738,0.76,-1.07,0.99,15.26,229,1,-0.10250318696962779,0.8897688526667091
12725415,0.61554102,0.61554,223.559097,13.090618,1.22,0.05,1.08,0.34,-0.210743,0.39,1.05,3.22,15.92,190,1,0.2269102560517826,1.0134254301705075
12728740,0.55795503,0.55796076,222.500641,14.987056,1.13,0.35,0.94,0.26,-0.2534008,0.61,-0.68,-0.71,14.78,214,1,0.26544712593581776,1.0454173153595636
12734547,0.54999799,0.54998279,223.765427,13.189316,1.2,0.15,0.79,0.43,-0.2596389,0.64,0.37,0.66,15.93,177,1,0.23307126831132274,1.0112961284830744
12737253,0.38515195,0.38515124,223.554153,16.325888,1.13,0.19,1.07,0.05,-0.4143679,0.46,-0.01,-1.04,16.28,227,2,0.32279864515635115,1.0404256736988597
12757511,0.51878403,0.51877324,222.760345,17.198866,1.19,0.32,1.16,0.16,-0.2850134,0.92,-0.86,-0.44,15.77,218,1,0.3389080341522588,1.0589610703550394
12762287,0.55231902,0.55229816,222.233002,20.575024,1.19,0.28,1.38,0.41,-0.25781,0.68,-0.29,-1.06,16.35,240,1,0.4464726759526694,1.0893996125098206
12765243,0.6385891,0.63860056,223.756302,19.096684,1.19,0.33,1.28,0.23,-0.1947785,0.76,-0.6,-0.35,15.32,249,1,0.414236444668334,1.0569190351302062
12767772,0.410938,0.41094482,223.324722,20.948782,1.04,0.04,0.95,0.23,-0.3862237,0.55,-0.32,-1.54,14.28,216,2,0.47197193632430645,1.0746864869155084
12773588,0.66868996,0.66866943,223.478592,22.896322,1.18,0.34,1.24,0.3,-0.1747752,0.41,-0.02,-0.9,16.19,227,1,0.5423261584721981,1.0821390428215243
12800455,0.62569401,0.62571451,223.316238,25.955416,1.19,0.09,1.01,0.31,-0.203638,0.71,-0.56,-0.63,15.33,172,1,0.6538177910895957,1.0959620504973193
12800586,0.55296902,0.55298157,223.532867,26.978142,1.3,-0.07,0.68,0.09,-0.2572992,0.63,-0.3,-1.1,15.53,194,1,0.6935065782799468,1.0952115589189617
