LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
4545362,0.52132,0.521322,0.5213,1.0,483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9182,1.952,29.634,0.0608,13.004,2.006,2.0117,176.0563,0.3832,42.7051,0.0,0.0,Z,NaN,NaN
4620408,0.803871,0.803873,0.8039,1.0,582,0.1070699462121952,1.5,1.1,0.1190343469436644,2.6,1.2,15.62,0.38,48,0.0343919725193106,1.5,1.0,0.0402672977620642,1.2,1.1,15.63,0.32,1.244,1.2468,357.1429,0.0949,16.3557,2.0024,2.0269,40.7997,0.0594,7.3124,0.06,0.0,Z,NaN,NaN
4670587,0.357698,1.07312,0.7154,3.0001,555,0.2190855687228528,31.8,4.1,0.1864763216137205,27.6,4.3,15.01,0.38,45,0.1809724132136064,21.4,4.7,0.1980250258388045,24.0,4.9,14.95,0.4,2.7957,2.7985,355.8719,0.0312,22.2632,0.0768,0.0801,297.619,0.6133,0.5715,0.02,1.00003,NaN,L,6
4912051,0.571577,0.571439,0.5715,0.9998,638,0.1480967267654705,9.4,2.1,0.2816984620690638,25.5,3.2,15.61,0.63,45,0.152787629872435,38.7,5.1,0.1838179751908127,42.4,5.7,15.74,0.42,1.7495,1.7835,29.4855,0.0387,11.1132,2.0034,2.0944,10.986,0.0631,4.6099,0.21,0.00024,NaN,Z,7
5037484,0.622999,0.622996,0.623,1.0,376,0.0474472663885891,3.2,1.4,0.0486231451377715,3.4,1.4,15.04,0.89,46,0.0182704453606811,1.3,1.1,0.0194436209843872,1.4,1.2,15.11,0.74,1.6051,1.6405,28.3046,0.0461,8.5066,1.6051,1.6237,53.9229,0.0607,6.9275,0.15,0.0,Z,NaN,NaN
5095929,0.280684,0.561366,0.421,2.0,288,0.2289531607844867,0.9,0.8,0.7850387578253576,2.4,1.6,16.63,0.32,50,0.0583924004585644,1.2,1.2,0.364802303808424,26.8,4.7,16.53,0.35,3.5627,3.6304,14.7743,0.0074,7.6702,1.1876,1.1966,111.5449,0.0866,7.8601,0.03,0.6667,Z,NaN,NaN
5272753,0.485827,0.48583,0.4858,1.0,601,0.0373204491087362,1.5,0.9,0.1185391750511467,22.6,2.4,15.43,1.09,48,0.0283041430677172,3.4,1.7,0.0413431058429668,7.6,2.3,15.56,0.79,2.0583,2.0861,35.9777,0.0533,14.7049,2.0029,2.0399,26.9869,0.0436,5.4898,0.3,1e-05,L,NaN,NaN
5308380,0.609172,0.609168,0.6092,1.0,487,0.1005733443858847,1.6,1.1,0.1691940135796249,4.7,1.5,16.03,0.69,51,0.0261807488134784,1.5,1.1,0.0144326924795236,1.5,0.6,16.19,0.63,1.6416,1.6755,29.5116,0.0514,12.0085,1.6416,1.663,46.62,0.0635,7.6036,0.06,1e-05,Z,NaN,NaN
5374444,0.361871,0.361867,0.3619,1.0,329,0.1934306327030606,3.0,1.5,0.3390427110948498,6.8,2.2,15.99,0.35,46,0.0747760550364845,7.9,2.0,0.119574422407374,11.9,3.0,15.96,0.35,2.7634,2.8339,14.1804,0.0197,9.7332,2.7634,2.7821,53.5762,0.0545,8.4559,0.0,1e-05,Z,NaN,NaN
5416042,0.792183,0.792183,0.7922,1.0,310,0.1144392803220357,1.9,1.1,0.1286548322284763,2.2,1.3,15.8,0.44,50,0.0358548306549412,1.5,1.0,0.043632837262102,1.5,1.2,15.74,0.39,1.2623,1.2997,26.738,0.0592,10.0662,1.2623,1.2654,321.0273,0.0819,7.2284,0.05,0.0,Z,NaN,NaN
5549773,0.374917,0.374914,0.3749,1.0,533,0.0908883145126392,0.6,0.7,0.2162181249210668,2.5,1.5,16.02,0.38,45,0.03873203379009,0.9,0.9,0.0476622515083378,1.3,1.0,16.01,0.28,2.6673,2.7012,29.4681,0.0441,20.1079,2.6673,2.6704,320.5128,0.0681,11.7372,0.1,1e-05,Z,NaN,NaN
5895287,0.539169,0.539185,0.5392,1.0,522,0.0953663155453932,5.2,1.7,0.1776140311812703,21.1,2.6,15.53,0.75,45,0.0706433938704408,13.4,2.9,0.0740476865401576,13.2,3.2,15.65,0.52,1.8547,1.8887,29.4594,0.0689,14.0426,1.8547,1.8773,44.1112,0.0533,5.0133,0.23,3e-05,Z,NaN,NaN
5931160,0.6647,0.664704,0.6647,1.0,587,0.0511306764252143,0.9,0.8,0.0511306764252143,0.9,0.8,15.17,0.35,45,0.0464321930038345,1.0,1.0,0.0501109555152633,1.1,1.1,15.1,0.26,1.5044,1.5383,29.5421,0.0822,14.5345,1.5044,1.5162,84.4951,0.0545,5.832,0.09,1e-05,Z,NaN,NaN
